Name,Party,Position,Jurisdiction,OpenFEC ID,District,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Ann Wagner,Republican,House,Missouri,H2MO02102,2,true,Won General,false,2024,2025,2027
Jeff Van Drew,Republican,House,New Jersey,H8NJ02166,2,true,Won General,false,2024,2025,2027
Matt Rosendale,Republican,House,Montana,H4MT00050,2,true,Lost Primary,false,2024,2025,2027
Yvette Herrell,Republican,House,New Mexico,H8NM02156,2,false,Lost General,false,2024,2025,2027
Cliff Bentz,Republican,House,Oregon,H0OR02127,2,true,Won General,false,2024,2025,2027
Joe Wilson,Republican,House,South Carolina,H2SC02059,2,true,Won General,false,2024,2025,2027
Aaron Bashir,Republican,House,Pennsylvania,H4PA02069,2,false,Lost General,false,2024,2025,2027
Tim Burchett,Republican,House,Tennessee,H8TN02119,2,true,Won General,false,2024,2025,2027
Dan Crenshaw,Republican,House,Texas,H8TX02166,2,true,Won General,false,2024,2025,2027
Jen Kiggans,Republican,House,Virginia,H2VA02064,2,true,Won General,false,2024,2025,2027
Cody Hart,Republican,House,Washington,H0WA02221,2,false,Lost General,false,2024,2025,2027
Blaine Luetkemeyer,Republican,House,Missouri,H8MO09153,3,true,Won General,false,2022,2023,2025
Michael Guest,Republican,House,Mississippi,H8MS03125,3,true,Won General,false,2022,2023,2025
Mike Rogers,Republican,House,Alabama,H2AL03032,3,true,Won General,false,2022,2023,2025
Adrian Smith,Republican,House,Nebraska,H6NE03115,3,true,Won General,false,2022,2023,2025
Chuck Fleischmann,Republican,House,Tennessee,H0TN03254,3,true,Won General,false,2022,2023,2025
Frank Lucas,Republican,House,Oklahoma,H4OK06056,3,true,Won General,false,2022,2023,2025
Jim Banks,Republican,House,Indiana,H6IN03229,3,true,Won General,false,2022,2023,2025
Drew Ferguson,Republican,House,Georgia,H6GA03113,3,true,Won General,false,2022,2023,2025
Greg Murphy,Republican,House,North Carolina,H0NC03172,3,true,Won General,false,2022,2023,2025
Kat Cammack,Republican,House,Florida,H0FL03175,3,true,Won General,false,2022,2023,2025
Clay Higgins,Republican,House,Louisiana,H6LA03148,3,true,Won General,false,2022,2023,2025
Lauren Boebert,Republican,House,Colorado,H0CO03165,3,true,Won General,false,2022,2023,2025
Jeff Duncan,Republican,House,South Carolina,H0SC03077,3,true,Won General,false,2022,2023,2025
Derrick Van Orden,Republican,House,Wisconsin,H0WI03175,3,false,Won General,false,2022,2023,2025
Keith Self,Republican,House,Texas,H2TX03290,3,false,Won General,false,2022,2023,2025
Mike Rogers,Republican,House,Alabama,H2AL03032,3,true,Won General,false,2024,2025,2027
Jeff Zink,Republican,House,Arizona,H2AZ07187,3,false,Lost General,false,2024,2025,2027
Kat Cammack,Republican,House,Florida,H0FL03175,3,true,Won General,false,2024,2025,2027
Clay Higgins,Republican,House,Louisiana,H6LA03148,3,true,Won General,false,2024,2025,2027
John Booras,Republican,House,Illinois,H4IL03101,3,false,Lost General,false,2024,2025,2027
Blaine Luetkemeyer,Republican,House,Missouri,H8MO09153,3,true,Dropped Out,false,2024,2025,2027
Michael Guest,Republican,House,Mississippi,H8MS03125,3,true,Won General,false,2024,2025,2027
Adrian Smith,Republican,House,Nebraska,H6NE03115,3,true,Won General,false,2024,2025,2027
Greg Murphy,Republican,House,North Carolina,H0NC03172,3,true,Won General,false,2024,2025,2027
Joanna Harbour,Republican,House,Oregon,H0OR03174,3,false,Lost General,false,2024,2025,2027
Frank Lucas,Republican,House,Oklahoma,H4OK06056,3,true,Won General,false,2024,2025,2027
Jeff Duncan,Republican,House,South Carolina,H0SC03077,3,true,Dropped Out,false,2024,2025,2027
Chuck Fleischmann,Republican,House,Tennessee,H0TN03254,3,true,Won General,false,2024,2025,2027
Keith Self,Republican,House,Texas,H2TX03290,3,true,Won General,false,2024,2025,2027
Derrick Van Orden,Republican,House,Wisconsin,H0WI03175,3,true,Won General,false,2024,2025,2027
Joe Kent,Republican,House,Washington,H2WA03100,3,false,Lost General,false,2024,2025,2027
Ken Buck,Republican,House,Colorado,H4CO04090,4,true,Won General,false,2022,2023,2025
William Timmons,Republican,House,South Carolina,H8SC04250,4,true,Won General,false,2022,2023,2025
Mike Johnson,Republican,House,Louisiana,H6LA04138,4,true,Won General,false,2022,2023,2025
Bill Huizenga,Republican,House,Michigan,H0MI02094,4,true,Won General,false,2022,2023,2025
Dan Newhouse,Republican,House,Washington,H4WA04104,4,true,Won General,false,2022,2023,2025
Tom Cole,Republican,House,Oklahoma,H2OK04055,4,true,Won General,false,2022,2023,2025
Jim Jordan,Republican,House,Ohio,H6OH04082,4,true,Won General,false,2022,2023,2025
Ron Estes,Republican,House,Kansas,H8KS04112,4,true,Won General,false,2022,2023,2025
Burgess Owens,Republican,House,Utah,H0UT04076,4,true,Won General,false,2022,2023,2025
