Name,Party,Position,Jurisdiction,OpenFEC ID,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Jay Schroeder,Republican,Secretary of State,Wisconsin,,false,Lost Primary,false,2022,2023,2027
Kim Reynolds,Republican,Governor,Iowa,,true,Won General,false,2022,2023,2027
Mark Duncan,Republican,Governor,Oregon,,false,Dropped Out,false,2022,2023,2027
Michele Fiore,Republican,Governor,Nevada,,false,Dropped Out,false,2022,2023,2027
Chuck Gray,Republican,Secretary of State,Wyoming,,false,Won General,false,2022,2023,2027
John Ventre,Republican,Governor,Pennsylvania,,false,Did Not Make Ballot,false,2022,2023,2027
David Winney,Republican,Secretary of State,Colorado,,false,Did Not Make Ballot,false,2022,2023,2027
Tina Peters,Republican,Secretary of State,Colorado,,false,Lost Primary,false,2022,2023,2027
Lee Zeldin,Republican,Governor,New York,,false,Lost General,false,2022,2023,2027
Ron Hood,Republican,Governor,Ohio,,false,Lost Primary,false,2022,2023,2026
Laurie Clark,Republican,Governor,Colorado,,false,Did Not Make Ballot,false,2022,2023,2026
Rayla Campbell,Republican,Secretary of State,Massachusetts,,false,Lost General,false,2022,2023,2027
Greg Abbott ,Republican,Governor,Texas,,true,Won General,false,2022,2023,2027
Mike Murphy,Republican,Governor,Minnesota,,false,Did Not Make Ballot,false,2022,2023,2026
Danielle Neuschwanger,Other,Governor,Colorado,,false,Lost General,false,2022,2023,2026
Mark Sherwood,Republican,Governor,Oklahoma,,false,Lost Primary,false,2022,2023,2026
Michael Connely,Republican,Governor,Nebraska,,false,Lost Primary,false,2022,2023,2026
Eddie Hamilton,Republican,Governor,Nevada,,false,Lost Primary,false,2022,2023,2026
Jim Renacci,Republican,Governor,Ohio,,false,Lost Primary,false,2022,2023,2026
Max Solomon,Republican,Governor,Illinois,,false,Lost Primary,false,2022,2023,2026
Laura Smith,Republican,Governor,California,,false,Did Not Make Ballot,false,2022,2023,2026
Christopher Roper,Republican,Governor,Illinois,,false,Did Not Make Ballot,false,2022,2023,2026
Charles Tuttle,Other,Secretary of State,North Dakota,,false,Lost General,false,2022,2023,2027
Leo Zacky,Republican,Governor,California,,false,Lost Primary,false,2022,2023,2026
Janice McGeachin,Republican,Governor,Idaho,,false,Lost Primary,false,2022,2023,2026
Shawnna Bolick,Republican,Secretary of State,Arizona,,false,Lost Primary,false,2022,2023,2027
Joey Gilbert,Republican,Governor,Nevada,,false,Lost Primary,false,2022,2023,2026
Emily Johnson,Republican,Governor,Illinois,,false,Did Not Make Ballot,false,2022,2023,2026
Arthur Macomber,Republican,Attorney General,Idaho,,false,Lost Primary,false,2022,2023,2027
Daniel Mercuri,Republican,Governor,California,,false,Lost Primary,false,2022,2023,2026
Steve Carlson,Democrat,Secretary of State,Minnesota,,false,Lost Primary,false,2022,2023,2027
Demetria Smith,Republican,Governor,Texas,,false,Dropped Out,false,2022,2023,2026
Sharon Anderson,Republican,Attorney General,Minnesota,,false,Lost Primary,false,2022,2023,2027
Sharon Hewitt,Republican,Governor,Louisiana,,false,Lost Primary,false,2023,2024,2028
Jacob Clark,Republican,Governor,Kentucky,,false,Lost Primary,false,2023,2024,2028
Amanda Jennings,Other,Secretary of State,Louisiana,,false,Lost Primary,false,2023,2024,2028
Eric Deters,Republican,Governor,Kentucky,,false,Lost Primary,false,2023,2024,2028
Stephen Knipper,Republican,Secretary of State,Kentucky,,false,Lost Primary,false,2023,2024,2028
Johnny Ray Rice,Republican,Governor,Kentucky,,false,Lost Primary,false,2023,2024,2028
Xan John,Republican,Governor,Louisiana,,false,Lost Primary,false,2023,2024,2028
Brandon Trosclair,Republican,Secretary of State,Louisiana,,false,Lost Primary,false,2023,2024,2028
Geoff Young,Democrat,Governor,Kentucky,,false,Lost Primary,false,2023,2024,2028
Lynn Fitch,Republican,Attorney General,Mississippi,,true,Won General,false,2023,2024,2028
Jeff Landry,Republican,Governor,Louisiana,,false,Won General,false,2023,2024,2028
Robert DeVore,Republican,Governor,Kentucky,,false,Lost Primary,false,2023,2024,2028
Todd Rokita,Republican,Attorney General,Indiana,,true,Won General,false,2024,2025,2029
Jay Ashcroft,Republican,Governor,Missouri,,false,Lost Primary,false,2024,2025,2029
Bob Kern,Democrat,Governor,Indiana,,false,Dropped Out,false,2024,2025,2029
Leon Lawson,Republican,Governor,Washington,,false,Lost Primary,false,2024,2025,2029
Mike Braun,Republican,Governor,Indiana,,false,Won General,false,2024,2025,2029
Mark Robinson,Republican,Governor,North Carolina,,false,Lost General,false,2024,2025,2029
Dan Bishop,Republican,Attorney General,North Carolina,,false,Lost General,false,2024,2025,2029
Patrick Morrisey,Republican,Governor,West Virginia,,false,Won General,false,2024,2025,2029
Mac Warner,Republican,Governor,West Virginia,,false,Lost Primary,false,2024,2025,2029
Mark Walker,Republican,Governor,North Carolina,,false,Dropped Out,false,2024,2025,2029
Curtis Hill,Republican,Governor,Indiana,,false,Lost Primary,false,2024,2025,2029
Phil Lyman,Republican,Governor,Utah,,false,Lost Primary,false,2024,2025,2029
Will Scharf,Republican,Attorney General,Missouri,,false,Lost Primary,false,2024,2025,2029
Andrew Bailey,Republican,Attorney General,Missouri,,true,Won General,false,2024,2025,2029
S. Marshall Wilson,Other,Governor,West Virginia,,false,Lost General,false,2024,2025,2029
Carson Jorgensen,Republican,Governor,Utah,,false,Lost Primary,false,2024,2025,2029
Greg Gianforte,Republican,Governor,Montana,,true,Won General,false,2024,2025,2029
Michael Cross,Republican,Attorney General,Oregon,,false,Lost Primary,false,2024,2025,2029
Valentina Gomez Noriega,Republican,Secretary of State,Missouri,,false,Lost Primary,false,2024,2025,2029
Denny Hoskins,Republican,Secretary of State,Missouri,,false,Won General,false,2024,2025,2029
Jason Ravnsborg,Republican,Attorney General,South Dakota,,false,Won General,false,2018,2019,2023
Michael Coachman,Independent,Governor,North Dakota,,false,Lost General,false,2024,2024,2028
Darrell Leon McClanahan III,Republican,Governor,Missouri,,false,Lost Primary,false,2024,2025,2029
Jeremy Gundel,Republican,Governor,Missouri,,false,Lost Primary,false,2024,2025,2029
Dennis Linthicum,Republican,Secretary of State,Oregon,,false,Lost General,false,2024,2025,2029
Amber Thomsen,Republican,Governor,Missouri,,false,Lost Primary,false,2024,2025,2029
Dean Plocher,Republican,Secretary of State,Missouri,,false,Lost Primary,false,2024,2025,2029
H. Brooke Paige,Republican,Attorney General,Vermont,,false,Dropped Out,false,2024,2025,2027
H. Brooke Paige,Republican,Secretary of State,Vermont,,false,Lost General,false,2024,2025,2027
Kevin Hoyt,Independent,Governor,Vermont,,false,Lost General,false,2024,2025,2027
Phil Lyman,Unaffiliated,Governor,Utah,,false,Lost General,false,2024,2025,2029
Kahiolani Papalimu,Republican,State Elections Board,Hawaiʻi,,false,Appointed,false,2024,2024,2028
Carlos Ayala,Republican,State Elections Board,Maryland,,false,Appointed,false,2023,2023,2024
